Journal,Name,Role,Gender,Country,Year of PhD,Anglophone Country,,,,,,,,,,,,,,,,,,,
EPB,Linda See,Associate Editor,Female,Austria,2003,No,,,,,,,,,,,,,,,,,,,
JGS,Linda See,Board,Female,Austria,2003,No,,,,,,,,,,,,,,,,,,,
CEUS,Yu Liu,Associate Editor,Male,China,2003,No,,,,,,,,,,,,,,,,,,,
TGIS,Xi Chen,Board,Male,China,2003,No,,,,,,,,,,,,,,,,,,,
JTG,Hidenobu Matsumoto,Board,Male,Japan,2003,No,,,,,,,,,,,,,,,,,,,
JTG,Tim Schwanen,Board,Male,UK,2003,Yes,,,,,,,,,,,,,,,,,,,
PSP,Martin Ruhs,Board,Male,UK,2003,Yes,,,,,,,,,,,,,,,,,,,
PSP,Nissa Finney,Board,Female,UK,2003,Yes,,,,,,,,,,,,,,,,,,,
GA,Jennifer Miller,Associate Editor,Female,USA,2003,Yes,,,,,,,,,,,,,,,,,,,
IJGIS,Jennifer Miller,Associate Editor,Female,USA,2003,Yes,,,,,,,,,,,,,,,,,,,
JTG,Aaron Golub,Board,Male,USA,2003,Yes,,,,,,,,,,,,,,,,,,,
JTG,Julie Cidell,Board,Female,USA,2003,Yes,,,,,,,,,,,,,,,,,,,
IJGIS,Amy Griffin ,Board,Female,Australia,2004,Yes,,,,,,,,,,,,,,,,,,,
IJGIS,Nico Van de Weghe,Board,Male,Belgium,2004,No,,,,,,,,,,,,,,,,,,,
IJGIS,Xiang Li,Board,Male,China,2004,No,,,,,,,,,,,,,,,,,,,
CEUS,Juan Carlos Duque,Board,Male,Colombia,2004,No,,,,,,,,,,,,,,,,,,,
JTG,César Ducruet,Board,Male,France,2004,No,,,,,,,,,,,,,,,,,,,
TGIS,Peter Mooney,Associate Editor,Male,Ireland,2004,Yes,,,,,,,,,,,,,,,,,,,
CEUS,Jantien Stoter,Board,Female,Netherlands,2004,No,,,,,,,,,,,,,,,,,,,
TGIS,Chen-Chieh Feng,Board,Male,Singapore,2004,No,,,,,,,,,,,,,,,,,,,
CEUS,Alison Heppenstall,Associate Editor,Female,UK,2004,Yes,,,,,,,,,,,,,,,,,,,
GA,Alison Heppenstall,Board,Female,UK,2004,Yes,,,,,,,,,,,,,,,,,,,
GA,Rachel Franklin,Editor in Chief,Female,UK,2004,Yes,,,,,,,,,,,,,,,,,,,
JGS,Rachel Franklin,Board,Female,UK,2004,Yes,,,,,,,,,,,,,,,,,,,
PSP,David McCollum,Board,Male,UK,2004,Yes,,,,,,,,,,,,,,,,,,,
PSP,Rachel Franklin,Board,Female,UK,2004,Yes,,,,,,,,,,,,,,,,,,,
IJGIS,Shaowen Wang,Board,Male,USA,2004,Yes,,,,,,,,,,,,,,,,,,,
TGIS,Shaowen Wang,Board,Male,USA,2004,Yes,,,,,,,,,,,,,,,,,,,
JTG,Tim Ryley,Board,Male,Australia,2005,Yes,,,,,,,,,,,,,,,,,,,
JTG,Yusak Octavius Susilo,Board,Male,Austria,2005,No,,,,,,,,,,,,,,,,,,,
JTG,Ahmed El-Geneidy,Board,Male,Canada,2005,Yes,,,,,,,,,,,,,,,,,,,
EPB,Efrat Blumenfeld-Lieberthal,Board,Female,Israel,2005,No,,,,,,,,,,,,,,,,,,,
CEUS,Michael Lutz,Board,Male,Italy,2005,No,,,,,,,,,,,,,,,,,,,
